ID,YEAR,Volume,Lote,Operacion,Unidad,EL.,Investigator,Fecha,Class,Category,Genus,Species,Name,CF,R_El,R_info,Side,"Completeness (0=frag, 1=complete)",R_portion,Fragmentation,NISP,MNE,Estimate AGE,Fusion/wear,Proximal,Shaft,Distal,Taphonomy,Photographed,Bird to confirm ID,Additional analysis,Quality of heat/fire exposure,# Charred,# Heat exposed,Carnivore,Rodent,Worked,Butchery,Weathering,Other,Calcined,Measurements,Location of measurement,Portion,Comments,R_El/R_info/Portion/Comments
1,2016,0.296,87,17,I17,,MRD,20_VII_13,Mammal,Artiodactyla,Odocoileus,virginianus,White-tailed deer,#N/A,tibia,,L,0.2,4-Distal and shaft,,1,,,Fused,,,,,,,,,,,,,,,,,,,,4-Distal and shaft,,tibia//4-Distal and shaft/
2,2016,0.296,87,17,I17,,MRD,20_VII_13,Mammal,Artiodactyla,Odocoileus,virginianus,White-tailed deer,#N/A,femur,,R,0,sliver,,1,,,,,,,possibly,,,,,,,,,,,,,,,,shaft fragment,,femur//shaft fragment/
3,2016,0.296,87,17,I17,,MRD,20_VII_13,Mammal,Carnivora,Canis,familiaris ,Dog,#N/A,Cervical,,,0.9,,,1,1,,Fused,,,,,,,,,,,,,,,,,,,,,,Cervical///
4,2016,0.296,87,17,I17,,MRD,20_VII_13,Mammal,Carnivora,Canis,familiaris ,Dog,#N/A,austragalus,,R,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,austragalus///
5,2016,0.296,87,17,I17,,MRD,20_VII_13,Mammal,Carnivora,Canis,familiaris ,Dog,#N/A,rib,12,L,1,7- whole and unbroken,,1,1,,,,,,,,,,,,,,,,,,,,,,,"Juvinile, small and yet to complete form","rib/12//Juvinile, small and yet to complete form"
6,2016,0.296,87,17,I17,,MRD,20_VII_13,Mammal,Carnivora,Canis,familiaris ,Dog,#N/A,cranial,Sphenoid,L,0,,,1,,,Fused,,,,,,,,,,,,,,,,,,,,Basiosphenoid,two large fossa intact,cranial/Sphenoid/Basiosphenoid/two large fossa intact
7,2016,0.296,87,17,I17,,MRD,20_VII_13,Mammal,General,medium-large,,medium-large mammal,#N/A,cranial,Vault fragment,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,cranial wall,,cranial/Vault fragment/cranial wall/
8,2016,0.296,87,17,I17,,MRD,20_VII_13,Mammal,Leporidae,Sylvilagus,floridanus,Eastern cottontail,#N/A,Mand/Tth,,L,0.2,Anterior,,1,,,,,,,,,,,,,,,,,,,,,,,anterior,anterior fragment with only incisor socket and incisor present,Mand/Tth//anterior/anterior fragment with only incisor socket and incisor present
9,2016,0.296,87,17,I17,,MRD,20_VII_13,Bird,General,,,Bird,#N/A,radius,,L,0.3,3-Proximal and shaft,,1,,,,,,,,,,,,,,,,,,,,,,,proximal,,radius//proximal/
10,2016,0.296,87,17,I17,,MRD,20_VII_13,Bird,General,,,Bird,#N/A,shaft,,,0,sliver,,1,,,,,,,,,,,,,,,,,,,,,,,shaft fragment,,shaft//shaft fragment/
11,2016,0.296,87,17,I17,,MRD,20_VII_13,Mammal,Human,,,Human,#N/A,,,,0,8- pieces grouped together ,,6,,,,,,,,,,,,,,,,,,,,,,,,,///
12,2016,0.296,87,17,I17,,MRD,20_VII_13,Mammal,General,large,,large mammal,#N/A,shaft,Worked bone,,?,,,1,,,,,,,tool,,,,,,,,,1,,,,,,,,"two refitting fragments of worked bone shaft, abraded sides and slight two sided bevel at one end. May have once been part of a larger thick spatular or chisel type object. ","shaft/Worked bone//two refitting fragments of worked bone shaft, abraded sides and slight two sided bevel at one end. May have once been part of a larger thick spatular or chisel type object. "
13,2016,0.296,87,17,I17,,MRD,20_VII_13,Mammal,General,,,mammal,#N/A,unknown,,,0,8- pieces grouped together ,,5,,,,,,,two heat exposed,,,,,,2,,,,,,,,,,,,unknown///
14,2016,0.244,95,17,J16,,MRD,17_VII_13,Mammal,General,,,mammal,#N/A,unknown,,,0,8- pieces grouped together ,,13,,,,,,,6 heat exposed,,,,,,6,,,,,,,,,,,,unknown///
15,2016,0.244,95,17,J16,,MRD,17_VII_13,Mammal,Human,,,Human,#N/A,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,///
16,2016,0.2825,45,17,J8,,AGMR,11_III_13,Reptile,Testudine,,,Turtle,#N/A,plastron,Scute,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,of a size with Kinosternon sp.,plastron/Scute//of a size with Kinosternon sp.
17,2016,0.2825,45,17,J8,,AGMR,11_III_13,Mammal,General,medium-large,,medium-large mammal,#N/A,Tth ND,,,0.7,,,1,,,,,,,,,,,,,,,,,,,,,,,Basal,MNE=1,Tth ND//Basal/MNE=1
18,2016,0.2825,45,17,J8,,AGMR,11_III_13,Mammal,General,,,mammal,#N/A,unknown,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,unknown///
19,2016,0.568,76,17,I17,,MRD,17_VII_13,Mammal,Artiodactyla,Odocoileus,virginianus,White-tailed deer,#N/A,Cervical,,,0.8,,,1,,,fused,,,,cutmarks,,,,,,,,,,1,,,,,,,Multiple cutmarks (same direction but non parallel on the right caudal articulation,Cervical///Multiple cutmarks (same direction but non parallel on the right caudal articulation
20,2016,0.568,76,17,I17,,MRD,17_VII_13,Mammal,Artiodactyla,Odocoileus,virginianus,White-tailed deer,#N/A,Lumbar,,,0.6,,,1,,,,,,,,,,,,,,,,,,,,,,,body,,Lumbar//body/
21,2016,0.568,76,17,I17,,MRD,17_VII_13,Mammal,Carnivora,Canis,familiaris ,Dog,#N/A,austragalus,,R,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,austragalus///
22,2016,0.568,76,17,I17,,MRD,17_VII_13,Mammal,Carnivora,Canis,familiaris ,Dog,#N/A,metatarsal,V,L,1,7- whole and unbroken,,1,,,fused,,,,Carnivore chew,,,"Possibly boiled, slightly shiney but not too smooth (could be unsmooth due to chewing); length:45.4, prox (wxh)7.72x7.79; Distal (wxh)5.61x6.02. Also meant to be shorter than mt2, but not sure if this is small enough to be tlachichi. Not quite as robust as the other possible tlachichi mt 3, but shorter and slightly momre robust than the small dog example in lab. Likely small dog because it is quite narrow. ",,,,1,,,,,,,,,,Small dog,metatarsal/V//Small dog
23,2016,0.568,76,17,I17,,MRD,17_VII_13,Mammal,Carnivora,Canis,familiaris ,Dog,#N/A,Ph1,V,L,1,7- whole and unbroken,,1,,,,,,,,,,Length; Prox (wxh); Distal (wxh),,,,,,,,,,,,,,,Ph1/V//
24,2016,0.568,76,17,I17,,MRD,17_VII_13,Mammal,Carnivora,Canis,familiaris ,Dog,#N/A,rib,1?,R,0.3,4-Distal and shaft,,1,,,,,,,,,,,,,,,,,,,,,,,costal,Most likely of rib,rib/1?/costal/Most likely of rib
25,2016,0.568,76,17,I17,,MRD,17_VII_13,Reptile,Testudine,Trachemys,sp.,Slider turtle,#N/A,carapace,Costal scute,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,carapace/Costal scute//
26,2016,0.568,76,17,I17,,MRD,17_VII_13,Mammal,Leporidae,Sylvilagus,floridanus,Eastern cottontail,#N/A,Mand/Tth,,R,0.3,Anterior,,1,,,,,,,,,,,,,,,,,,,,,,,anterior,"Sockets for P3,4, M1,2 and M1 and inscisor in place, different individual from L mandible in this lote; of a size with floridanus","Mand/Tth//anterior/Sockets for P3,4, M1,2 and M1 and inscisor in place, different individual from L mandible in this lote; of a size with floridanus"
27,2016,0.568,76,17,I17,,MRD,17_VII_13,Mammal,Leporidae,Sylvilagus,sp.,Cottontail,#N/A,mandible,,L,0.2,Anterior,,1,,,,,,,,,,,,,,,,,,,,,,,anterior,"ragment includes partial socket for P3. Different individual from R mandible in this lote, of a size with floridanus","mandible//anterior/ragment includes partial socket for P3. Different individual from R mandible in this lote, of a size with floridanus"
28,2016,0.568,76,17,I17,,MRD,17_VII_13,Mammal,Leporidae,Sylvilagus,sp.,Cottontail,#N/A,Tth ND,,,0,8- pieces grouped together ,,7,,,,,,,,,,,,,,,,,,,,,,,fragments,,Tth ND//fragments/
29,2016,0.568,76,17,I17,,MRD,17_VII_13,Mammal,Leporidae,Sylvilagus,sp.,Cottontail,#N/A,Ph1,"posterior, II or III",,1,7- whole and unbroken,,1,,,,,,,,,,,,,,,,,,,,,,,,form is straight fo likely #2 or 3,"Ph1/posterior, II or III//form is straight fo likely #2 or 3"
30,2016,0.568,76,17,I17,,MRD,17_VII_13,Mammal,Leporidae,Leporidae,,Rabbit/hare,#N/A,Pelvis Acetabulum,Ilium,R,1,,,1,,,No,,,,,,,,,,,,,,,,,,,,illium,complete juvenile illium,Pelvis Acetabulum/Ilium/illium/complete juvenile illium
31,2016,0.568,76,17,I17,,MRD,17_VII_13,Mammal,Leporidae,Lepus,sp.,Hare,#N/A,Atlas,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,Atlas///
32,2016,0.568,76,17,I17,,MRD,17_VII_13,Mammal,General,small,,small mammal,#N/A,Thoracic,,,0.7,,,1,,,No,,,,,,,,,,,,,,,,,,,,body,probaby sylv.,Thoracic//body/probaby sylv.
33,2016,0.568,76,17,I17,,MRD,17_VII_13,Mammal,Rodentia,Cratogeomys,fumosus thylorhinus,Smokey pocket gopher,#N/A,tibia,,L,0,1-Proximal epiphysis,,1,,,No,,,,,,,,,,,,,,,,,,,,proximal epiphysis,whole,tibia//proximal epiphysis/whole
34,2016,0.568,76,17,I17,,MRD,17_VII_13,Mammal,General,small,,small mammal,#N/A,Vert ND,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,epiphysis,,Vert ND//epiphysis/
35,2016,0.568,76,17,I17,,MRD,17_VII_13,Bird,General,,,Bird,#N/A,unknown,,,0,8- pieces grouped together ,,3,,,,,,,,,,,,,,,,,,,,,,,,CHECK,unknown///CHECK
36,2016,0.568,76,17,I17,,MRD,17_VII_13,Bird,General,,,Bird,#N/A,sternum,,L,0,,,1,,,,,,,,,,,,,,,,,,,,,,,Costal facets,,sternum//Costal facets/
37,2016,0.568,76,17,I17,,MRD,17_VII_13,Mammal,Artiodactyla,Artiodactyla,,Artiodactyl,#N/A,tibia,,R,0.1,1-Proximal epiphysis,,1,,,No,,,,,,,,,,,,,,,,,,,,"Proximal, medial condyle",No epiphysis,"tibia//Proximal, medial condyle/No epiphysis"
38,2016,0.568,76,17,I17,,MRD,17_VII_13,Mammal,General,,,mammal,#N/A,unknown,,,0,8- pieces grouped together ,,47,,,,,,,,,,,,,,,,,,,,,,,,,unknown///
39,2016,0.568,76,17,I17,,MRD,17_VII_13,Mammal,Human,,,Human,#N/A,,,,0,8- pieces grouped together ,,30,,,,,,,,,,,,,,,,,,,,,,,,Many large chunks from various body parts. NISP is min,///Many large chunks from various body parts. NISP is min
40,2016,0.568,76,17,I17,,MRD,17_VII_13,Mammal,General,medium-large,,medium-large mammal,#N/A,radius,,R,0,5-Shaft only,,1,,,,,,,,,,,,,,,,,,,,,,,shaft,possibly distal shaft of dog radius but a little more round that the examples in the lab.,radius//shaft/possibly distal shaft of dog radius but a little more round that the examples in the lab.
41,2016,0.568,76,17,I17,,MRD,17_VII_13,Mammal,General,,,mammal,#N/A,shaft,Worked bone,,0,8- pieces grouped together ,,5,,,,,,,worked bone,,,,,,,,,5,,,,,,,,"five distinct fragments of worked bone, one possible awl fragment (blunt), other four have abrasion or grooves but no diagnostic portions. ","shaft/Worked bone//five distinct fragments of worked bone, one possible awl fragment (blunt), other four have abrasion or grooves but no diagnostic portions. "
42,2016,0.568,76,17,I17,,MRD,17_VII_13,Mammal,General,,,mammal,#N/A,unknown,,,0,8- pieces grouped together ,,2,,,,,,,One charred one heat exposed,,,,,1,1,,,,,,,,,,,,unknown///
43,2016,0.568,76,17,I17,,MRD,17_VII_13,Fish,Fish,,,ND fish,#N/A,Cervical,5,,0.9,,,1,,,,,,,,,,,,,,,,,,,,,,,,Possibly flat fish,Cervical/5//Possibly flat fish
