"","ID","YEAR","Volume","Lote","Operacion","Unidad","EL.","Investigator","Fecha","Class","Category","Genus","Species","Name","CF","R_El","R_info","Side","Completeness..0.frag..1.complete.","R_portion","Fragmentation","NISP","MNE","Estimate.AGE","Fusion.wear","Proximal","Shaft","Distal","Taphonomy","Photographed","Bird.to.confirm.ID","Additional.analysis","Quality.of.heat.fire.exposure","X..Charred","X..Heat.exposed","Carnivore","Rodent","Worked","Butchery","Weathering","Other","Calcined","Measurements","Location.of.measurement","Portion","Comments","R_El.R_info.Portion.Comments","New_El"
"1",1,"2016",0.296,"87","17","I17","","MRD","20_VII_13","Mammal","Artiodactyla","Odocoileus","virginianus","White-tailed deer","#N/A","tibia","","L","0.2","4-Distal and shaft",NA,1,NA,NA,"Fused",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","4-Distal and shaft","","tibia//4-Distal and shaft/","Tibia"
"2",2,"2016",0.296,"87","17","I17","","MRD","20_VII_13","Mammal","Artiodactyla","Odocoileus","virginianus","White-tailed deer","#N/A","femur","","R","0","sliver",NA,1,NA,NA,"",NA,NA,NA,"possibly","","","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","shaft fragment","","femur//shaft fragment/","Femur"
"3",3,"2016",0.296,"87","17","I17","","MRD","20_VII_13","Mammal","Carnivora","Canis","familiaris ","Dog","#N/A","Cervical","","","0.9","",NA,1,1,NA,"Fused",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","Cervical///","Cervical"
"4",4,"2016",0.296,"87","17","I17","","MRD","20_VII_13","Mammal","Carnivora","Canis","familiaris ","Dog","#N/A","austragalus","","R","1","",NA,1,1,NA,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","austragalus///","Astragalus"
"5",5,"2016",0.296,"87","17","I17","","MRD","20_VII_13","Mammal","Carnivora","Canis","familiaris ","Dog","#N/A","rib","12","L","1","7- whole and unbroken",NA,1,1,NA,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","Juvinile, small and yet to complete form","rib/12//Juvinile, small and yet to complete form","Ribs"
"6",6,"2016",0.296,"87","17","I17","","MRD","20_VII_13","Mammal","Carnivora","Canis","familiaris ","Dog","#N/A","cranial","Sphenoid","L","0","",NA,1,NA,NA,"Fused",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","Basiosphenoid","two large fossa intact","cranial/Sphenoid/Basiosphenoid/two large fossa intact","Cranium"
"7",7,"2016",0.296,"87","17","I17","","MRD","20_VII_13","Mammal","General","medium-large","","medium-large mammal","#N/A","cranial","Vault fragment","","0","",NA,1,NA,NA,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","cranial wall","","cranial/Vault fragment/cranial wall/","Cranium"
"8",8,"2016",0.296,"87","17","I17","","MRD","20_VII_13","Mammal","Leporidae","Sylvilagus","floridanus","Eastern cottontail","#N/A","Mand/Tth","","L","0.2","Anterior",NA,1,NA,NA,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","anterior","anterior fragment with only incisor socket and incisor present","Mand/Tth//anterior/anterior fragment with only incisor socket and incisor present","Humerus"
"9",9,"2016",0.296,"87","17","I17","","MRD","20_VII_13","Bird","General","","","Bird","#N/A","radius","","L","0.3","3-Proximal and shaft",NA,1,NA,NA,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","proximal","","radius//proximal/","Radius"
"10",10,"2016",0.296,"87","17","I17","","MRD","20_VII_13","Bird","General","","","Bird","#N/A","shaft","","","0","sliver",NA,1,NA,NA,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","shaft fragment","","shaft//shaft fragment/","Shaft frags"
