ID,YEAR,Volume,Lote,Operacion,Unidad,EL.,Investigator,Fecha,Class,Category,Genus,Species,Name,CF,R_El,R_info,Side,"Completeness (0=frag, 1=complete)",R_Portion,Fragmentation,NISP,MNE,Estimate AGE,Fusion/wear,Proximal,Shaft,Distal,Taphonomy,Photographed,Bird to confirm ID,Additional analysis,Quality of heat/fire exposure,# Charred,# Heat exposed,Carnivore,Rodent,Worked,Butchery,Weathering,Other,Calcined,Measurements,Location of measurement,Portion,Element info,Comments,R_El/Portion/Element info/Comments
858,2017,,678,18,I23,36,DHS,9_VII_14,Mammal,Artiodactyla,Artiodactyla,,Artiodactyl,#N/A,mandible,,L,0.1,,1-Ancient,1,,10-young(porous),,,,,,,,,,0,?,2-whole,0,0,0,,0,0,12.9,mandibular condyle,mandibular process and ramus,,,mandible/mandibular process and ramus//
859,2017,,678,18,I23,36,DHS,9_VII_14,Mammal,Artiodactyla,Artiodactyla,,Artiodactyl,#N/A,scapula,,L,0.1,,3-Modern/Ancient,1,,10-young(porous),,,,,,,,,,0,0,0,0,0,0,,0,0,,,cranial angle,,,scapula/cranial angle//
860,2017,,678,18,I23,36,DHS,9_VII_14,Mammal,Artiodactyla,Artiodactyla,,Artiodactyl,#N/A,patella,,?,1,7- whole and unbroken,,1,,0- not determinable,,,,,,Phone 28_VIII_17,Y,,,0,?,0,0,0,0,,0,0,35.5x21.9x19.2,LxWxH,7- whole and unbroken,,Check antilocapra,patella/7- whole and unbroken//Check antilocapra
861,2017,,678,18,I23,36,DHS,9_VII_14,Mammal,Carnivora,Canis,familiaris ,Dog,#N/A,Mc,III,R,0.9,3-Proximal and shaft,,1,,4- infantile or juvenile,,FU- Fused,Pr - present,UF- Unfused,,,,,9- slightly burnt,1,,0,0,0,0,,0,0,"8.4x6.47, 44.78","Proximal WxH, UL (unfused length)",3-Proximal and shaft,III,,Mc/3-Proximal and shaft/III/
862,2017,,678,18,I23,36,DHS,9_VII_14,Mammal,General,large,,large mammal,#N/A,shaft,,,0,sliver,2-Ancient/modern,1,,,,,,,,,,,8- partly burnt,1,,0,0,0,0,,0,0,,,sliver,,,shaft/sliver//
863,2017,,678,18,I23,36,DHS,9_VII_14,Mammal,Leporidae,Lepus,sp.,Hare,#N/A,mandible,,L,1,,,1,,0- not determinable,,,,,,,,,,0,?,0,0,0,0,,0,0,"63.9x40.6, 18.8, 17.3","LxH(ramus), diastema y tooth row",,,,mandible///
864,2017,,678,18,I23,36,DHS,9_VII_14,Mammal,Leporidae,Romerolagus,diazi,Teporingo,#N/A,femur,,L,1,,,1,,9- adult,,FU- Fused,Pr - present,FU- Fused,,Phone 28_VIII_17,,,,0,0,0,0,0,0,,0,0,51.1x12.25x8.63,LxW(prox)xW(dist),,,,femur///
865,2017,,678,18,I23,36,DHS,9_VII_14,Mammal,Leporidae,Romerolagus,diazi,Teporingo,#N/A,tibia,,R,0.5,4-Distal and shaft,1-Ancient,1,,?,,ND- fusion ND,Pr - present,FU- Fused,,,,,9- slightly burnt,1,,0,0,0,0,,0,0,7.4,W(distal),4-Distal and shaft,,sprial-step fracture,tibia/4-Distal and shaft//sprial-step fracture
866,2017,,678,18,I23,36,DHS,9_VII_14,Mammal,Leporidae,Leporidae,cf. Sylvilagus,Rabbit/hare,cf. sylvilagus,Lumbar,-,,0.9,6- whole lenght/size but still broken,2-Ancient/modern,3,3,9- adult,,FU- Fused,Pr - present,FU- Fused,,,,,,0,,0,0,0,0,,0,0,10.9x7.2x7.2,L(body)xW(prox)xW(dist) (of one),6- whole lenght/size but still broken,lumbar,three verts,Lumbar/6- whole lenght/size but still broken/lumbar/three verts
867,2017,,678,18,I23,36,DHS,9_VII_14,Mammal,Artiodactyla,Cervidae,,Cervid,#N/A,radius,,L,0.1,3-Proximal and shaft,1-Ancient,1,,0- not determinable,,FU- Fused,Pr - present,ND- fusion ND,Awl,Phone 28_VIII_17,Y,,,0,,0,0,2,0,,0,0,72.8x15.9,LxW(prox),3-Proximal and shaft,medial condyle and shaft,Complete awl made from proximal radius of small cervid. Likely odoco or mazama,radius/3-Proximal and shaft/medial condyle and shaft/Complete awl made from proximal radius of small cervid. Likely odoco or mazama
868,2017,,678,18,I23,36,DHS,9_VII_14,Mammal,General,medium-large,,medium-large mammal,#N/A,Tool,Needle,,0,sliver,1-Ancient,1,,0- not determinable,,,,,Needle,Phone 28_VIII_17,,,,0,,0,0,2,0,,0,0,68.8x2.8,LxW (prox-eye),sliver,needle,"needle, hole complete, no point but small bevel instead (maybe broken and reshaped?)","Tool/sliver/needle/needle, hole complete, no point but small bevel instead (maybe broken and reshaped?)"
