"","Operacion","Unidad","AmphibianFrog","BirdAmericanCoot","BirdBird","BirdBlackneckedgrebe","BirdcfFulicaamericana","BirdcfGuajolote","BirdcfHawk","BirdcfLongtailedwoodpatridge","Birdcfraptor","BirdcfSwallow","BirdCharadriidae","Birdchicken","BirdCooper’sHawk","Birdextralargebird","BirdGallinule","BirdGrebe","BirdGuajolote","BirdHawk","Birdlargebird","Birdmediumlargebird","BirdNorthernbobwhite","BirdPasserine","BirdPhasinidae","BirdPigeon","BirdQuail","BirdRallidae","BirdRaven","Birdsmallmedbird","Birdsmallbird","BirdWaterfowl","FishcfMarineFish","FishcfNeedlefish","FishJackfish","FishMarinefish","FishNDfish","FishPerciformes","FishSnapper","MammalArtiodactyl","MammalBrocketdeer","MammalCattle","MammalCervid","MammalcfBrocketDeer","MammalcfMexicancottontail","MammalcfMexicangroundsquirrel","MammalcfPeccary","MammalcfWhitetailedDeer","MammalCoati","MammalCottontail","MammalDeermouse","MammalDesertcottontail","MammalDog","MammalDoglg","MammalDogsm","MammalDomesticpig","MammalEasterncottontail","MammalHare","MammalHuman","MammalHuman","MammalLagomorphorRodent","Mammallargemammal","MammalLoberro","Mammalmammal","Mammalmediumlargemammal","Mammalmediummammal","MammalMexicancottontail","MammalMexicangroundsquirrel","MammalPeccari","MammalRabbithare","MammalRatMouse","MammalRedbelliedsquirrel","MammalSheepgoat","Mammalsmallmedmammal","Mammalsmallmammal","Mammalsmallrodent","MammalSmokeypocketgopher","MammalSouthernpocketgopher","MammalSquirrel","MammalTeporingo","MammalTlachichi","MammalTlacuache","MammalTuza","MammalWhitetaileddeer","ReptileMudturtle","ReptileSliderturtle","ReptileTurtle","ShellBivalve","ShellGastropod","ShellShell","UnknownBirdorMammal","UnknowncfTurtle","UnknownNID","TotalRow"
"1","18","I20",0,0,12,2,1,1,0,0,0,0,0,0,0,0,0,1,1,0,6,1,2,0,0,0,1,0,0,0,0,4,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,2,15,0,0,3,0,18,8,5,0,0,0,2,0,0,0,0,3,0,2,1,0,0,0,0,0,6,1,1,0,0,0,0,0,0,2,91
"2","18","I21",0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,0,0,0,8,0,0,6,0,6,18,5,1,0,0,1,0,2,0,0,1,0,1,0,1,0,0,0,0,1,0,11,0,0,0,2,0,0,0,75
"3","18","I22",0,14,7,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,5,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,9,1,0,0,0,2,0,0,1,1,0,0,0,4,1,0,0,2,4,23,0,0,7,0,22,36,7,1,0,0,0,0,3,0,0,5,0,2,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,163
"4","18","I22-23",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,13
"5","18","I22-J22",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"6","18","I23",1,0,9,0,0,0,1,0,0,0,2,0,5,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,1,5,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,1,1,3,0,0,0,0,3,8,1,0,7,0,23,20,2,0,0,0,4,0,3,0,0,1,0,2,0,0,2,0,0,0,5,0,9,0,0,0,0,1,0,2,106
"7","18","J20",0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,1,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,2,0,0,0,0,4,0,0,0,2,2,11,0,0,1,0,1,23,2,2,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,2,76
"8","18","J21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,12,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,28
"9","18","J22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,14,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22
"10","18","J23",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12
