#Bags,Cum_NISP,Cum_unique_sp
1,1,0
2,11,0
3,34,2
4,35,3
5,71,6
6,124,6
7,183,6
8,184,6
9,186,7
10,222,10
11,235,10
12,266,10
13,270,10
14,276,10
15,282,10
16,295,10
17,305,11
18,347,11
19,361,13
20,373,13
21,380,13
22,382,13
23,394,13
24,399,13
25,400,13
26,404,13
27,420,13
28,424,13
29,424,13
30,464,16
31,468,16
32,474,16
33,487,16
34,493,17
35,505,17
36,521,17
37,526,17
38,545,17
39,562,17
40,565,17
41,572,17
42,574,17
43,597,17
44,614,17
45,689,18
46,723,18
47,726,18
48,727,18
49,731,18
50,750,18
51,759,18
52,809,19
53,848,19
54,850,20
55,878,20
56,893,20
57,950,21
58,957,21
59,965,21
60,985,21
61,991,21
62,992,21
63,1009,21
64,1035,21
65,1049,21
66,1054,21
67,1057,21
68,1064,21
69,1077,22
70,1081,22
71,1087,22
72,1089,22
73,1093,22
74,1094,22
75,1124,22
76,1150,22
77,1152,22
78,1158,22
79,1159,22
80,1178,22
81,1183,22
82,1199,22
83,1210,22
84,1211,22
85,1212,22
86,1215,22
87,1224,22
88,1235,22
89,1245,22
90,1247,22
91,1252,22
92,1257,22
93,1261,22
94,1267,22
95,1283,22
96,1292,22
97,1294,22
98,1296,22
99,1297,22
100,1298,22
101,1303,22
102,1304,22
103,1307,22
104,1314,22
105,1321,22
106,1326,22
107,1332,22
108,1362,22
109,1372,22
110,1376,22
111,1395,22
112,1414,22
113,1420,22
114,1422,22
115,1431,22
116,1439,22
117,1446,22
118,1454,22
119,1469,22
120,1471,22
121,1488,23
122,1512,23
123,1545,23
124,1546,23
125,1548,23
126,1551,23
127,1563,23
128,1566,23
129,1576,23
130,1584,23
131,1586,23
132,1588,25
133,1598,25
134,1608,25
135,1620,25
136,1626,25
137,1640,25
138,1641,25
139,1647,25
140,1653,25
141,1654,25
142,1660,25
143,1667,25
144,1674,25
145,1675,25
146,1691,25
147,1706,25
148,1710,25
149,1735,25
150,1745,25
151,1753,25
152,1759,25
153,1766,26
154,1771,26
155,1772,26
156,1794,26
157,1809,26
158,1816,26
159,1820,26
160,1827,26
161,1833,26
162,1835,26
163,1884,26
164,1886,26
165,1888,26
166,1892,26
167,1949,27
168,1951,27
169,1956,27
170,1976,27
171,1981,27
172,1986,27
173,1987,27
174,1991,27
175,2004,27
176,2035,27
177,2038,27
178,2052,27
179,2054,27
180,2055,27
181,2057,27
182,2060,27
183,2134,27
184,2135,27
185,2137,27
186,2146,27
187,2147,27
188,2148,27
189,2151,27
190,2155,27
191,2157,27
192,2171,27
193,2173,27
194,2174,27
195,2180,27
196,2182,27
197,2186,27
198,2194,27
199,2200,27
200,2201,27
201,2202,27
202,2214,27
203,2232,28
204,2234,28
205,2244,29
206,2253,29
207,2257,29
208,2259,29
209,2260,29
210,2282,29
211,2319,29
212,2323,29
213,2352,29
214,2353,29
215,2383,30
216,2421,31
217,2438,31
218,2451,31
219,2452,31
220,2465,31
221,2476,31
222,2477,31
223,2481,31
224,2530,31
225,2532,31
226,2542,31
227,2550,31
228,2554,31
229,2566,31
230,2585,31
231,2592,31
232,2602,31
233,2627,31
234,2649,31
235,2657,31
236,2660,31
237,2664,31
238,2682,31
239,2686,31
240,2687,31
241,2696,31
242,2708,31
243,2711,31
244,2721,31
245,2726,31
246,2733,32
247,2741,32
248,2767,32
249,2790,33
250,2818,35
251,2821,35
252,2826,35
253,2830,35
254,2845,35
255,2847,35
256,2870,35
257,2883,35
258,2893,35
259,2894,35
260,2895,35
261,2896,35
262,2910,36
263,2932,36
264,2933,36
265,2937,36
266,2951,36
267,2970,37
268,2981,37
269,2995,37
270,3001,37
271,3050,38
272,3054,38
273,3070,38
274,3086,38
275,3143,39
276,3257,39
277,3308,39
278,3330,39
279,3332,39
280,3339,39
281,3353,39
282,3361,39
