Name,ap,col
Canis lupus familiaris,-7.56,-11.49
Canis lupus familiaris,,
Canis lupus familiaris,,
Canis lupus familiaris,-7.95,-11.24
Canis lupus familiaris,,
Canis lupus familiaris,-7.24,-8.47
Canis lupus familiaris,,
Canis lupus familiaris,,
Canis lupus familiaris,,
Canis lupus familiaris,-8.32,-13.50
Canis lupus familiaris,,
Canis lupus familiaris,-8.31,-14.51
Canis lupus familiaris,,
Canis lupus familiaris,-10.35,-14.90
Canis lupus familiaris,,
Canis lupus familiaris,-7.60,-12.65
Canis lupus familiaris,,
Canis lupus familiaris,,-8.36
Canis lupus familiaris,,
Canis lupus familiaris,,
Canis lupus familiaris,,
Canis lupus familiaris,,
Canis lupus familiaris,,
Canis lupus familiaris,,
Canis lupus familiaris,,
Canis lupus familiaris,,
Canis lupus familiaris,,
Canis lupus familiaris,,
Canis lupus familiaris,-6.98,-10.17
Canis lupus familiaris,,
Canis lupus familiaris,,
Canis lupus familiaris,,
Canis lupus familiaris,,
Canis lupus familiaris,,
Canis lupus familiaris,-6.67,-9.55
Felidae (Panthera onca?),-8.68,-15.22
Felidae (Panthera onca?),,
Felidae (Panthera onca?),-12.46,-19.54
Leopardis wiedii,,
Odocoileus virginianus,-9.96,-19.48
Odocoileus virginianus,-9.46,-19.22
Odocoileus virginianus,-9.04,-20.17
Odocoileus virginianus,-9.76,-20.54
Odocoileus virginianus,-10.63,
Odocoileus virginianus,-10.63,-21.59
Odocoileus virginianus,-14.47,-22.46
Odocoileus virginianus,-10.68,-20.11
Odocoileus virginianus,-9.99,-21.74
Odocoileus virginianus,-10.42,-22.23
Odocoileus virginianus,-10.82,-21.55
Odocoileus virginianus,-14.78,-24.08
Odocoileus virginianus,-11.31,-21.34
Odocoileus virginianus,-12.95,-21.14
Odocoileus virginianus,-10.66,-20.98
Odocoileus virginianus,,
Odocoileus virginianus,,
Odocoileus virginianus,,
Odocoileus virginianus,-10.30,-20.86
Odocoileus virginianus,-11.12,-22.00
Odocoileus virginianus,-9.99,-22.45
Odocoileus virginianus,-12.02,-20.48
Odocoileus virginianus,-9.10,-20.40
Odocoileus virginianus,-12.14,-21.92
Odocoileus virginianus,-9.04,-21.96
Tayassuidae,-13.22,-21.34
Tayassuidae,-8.48,-14.45
Tayassuidae,-9.81,-18.67
Tayassuidae,-9.13,-20.97
Tayassuidae,-10.61,-20.37
Tayassuidae,,
Tayassuidae,-11.64,-22.25
Tapirella bairdii,,
Tapirella bairdii,,
Cuniculus paca,-11.12,-20.96
Philander opossum,,
Meleagris gallopavo,-5.20,-9.68
Meleagris gallopavo,-5.11,-8.06
Meleagris ocellata,-9.07,-17.76
Meleagris sp.,-11.45,-22.72
Meleagris sp.,-6.39,-14.10
Neocyclotus dysonii,,
Orthalicus princeps,,
