R_ID,Name,Elinfo
1,White-tailed deer,Tibia
2,White-tailed deer,Femur
3,Dog,Cervical
4,Dog,Talus
5,Dog,RibR12
6,Dog,Craniumbasiopheniod
7,medium-large mammal,Craniumfrag
8,Eastern cottontail,Mand/Tth
9,bird,radiusradius
10,bird,shaftlong bone
11,Human,
12,large mammal,Shaft fragsworked
13,mammal,ND frags
14,mammal,ND frags
15,Human,
16,Turtle,carapace/plastronplastron scute
17,medium-large mammal,Tth NDroot
18,mammal,ND frags
19,White-tailed deer,Cervical
20,White-tailed deer,Lumbar
21,Dog,Talus
22,Dog,MetatarsalMt V
23,Dog,Phalanx 1Ph V
24,Dog,RibR1?
25,Slider turtle,carapace/plastroncarapace- costal scute
26,Eastern cottontail,Mand/Tth
27,Cottontail,Mandible
28,Cottontail,Tth ND
29,Cottontail,Phalanx 1posterior
30,Rabbit/hare,Pelvis Acetabulumillium
31,Hare,Atlas
32,small mammal,Thoracic
33,Smokey pocket gopher,Tibia
34,small mammal,Vert ND
35,bird,unknownfragment
36,bird,sternumsternum
37,Artiodactyl,Tibia
38,mammal,unknownfragment
39,Human,
40,medium-large mammal,Radius
41,mammal,shaftworked bone
42,mammal,unknownfragment
43,fish,vertebraC5Cervical
44,Smokey pocket gopher,mandiblemandible + dentition
45,Human,
46,Cottontail,mandiblemandible + dentition
47,Eastern cottontail,ulnaulna
48,Cottontail,Pelvis AcetabulumPelvis Acetabulum
49,Dog,metacarpalMetacarpal (4)
50,bird,unknownfragment
51,Dog,toothpm2 (inferior)
52,Dog,toothpm4 (inferior)
53,Canid,toothM3? (inferior)
54,Dog,phalanxdistal phalanx
55,mammal,othersesamoid
56,small mammal,patellapatella
57,White-tailed deer,toothM1 (inferior)
58,Artiodactyl,toothincisor (inf)
59,Artiodactyl,toothtooth
60,Eastern cottontail,scapulascapula
61,Smokey pocket gopher,scapulascapula
62,Hare,ulnaulna
63,bird,cranialcranium
64,mammal,Vert ND
65,Cottontail,mandiblemandible + dentition
66,Cottontail,toothtooth
67,Hare,ribrib (9)
68,medium mammal,ribrib
69,medium mammal,ribrib
70,mammal,shaftneedle 
71,fish,Vert NDvertebra
72,bird,ribrib
73,large mammal,shaftworked bone
74,large mammal,shaftworked bone
75,large bird,shaftlong bone
76,mammal,unknownfragment
77,medium mammal,Vert ND
78,Dog,Cervical
79,Human,
80,Hare,
81,mammal,unknownfragment
82,Human,
83,Cottontail,phalanxproximal phalanx (inferior)
84,Snapper,spinedorsal spine
85,mammal,unknownfragment
86,unknown,unknownfragment
87,large mammal,unknownfragment
88,Waterfowl,femurfemur
89,Dog,Atlas
90,Dog,Atlas
91,Dog,cranialinternal auditory meatus
92,Dog,cranialoccipitcondyle
93,Dog,cranialoccipitcondyle
94,Dog,cranialoccipital
95,Dog,cranialparietal
96,Dog,cranialmaxilla +dentition
97,Dog,mandiblemandible + dentition
98,Dog,metacarpalMetacarpal
99,Dog,cranialmaxilla
100,Dog,cranialpremaxilla
101,medium mammal,cranialcranium
102,White-tailed deer,Lumbar
103,White-tailed deer,Vert NDepiphysis
104,Dog,toothmolar
105,Dog,Caudal
106,White-tailed deer,cranialexternal audoritory meatus
107,large mammal,cranialcranium
108,White-tailed deer,toothincisor (inf) 1
109,Artiodactyl,toothtooth
110,Hare,cranialtemporal
111,small mammal,Lumbar
112,Guajolote,Vert NDvertebra
113,Hawk,radiusradius
114,large bird,pelvispelvis
115,bird,unknownfragment
116,Shell,unknownfragment
117,Human,
118,mammal,unknownfragment
119,Hare,metatarsalmetatarsal (5)
120,Human,
121,small mammal,ribrib
122,mammal,unknownfragment
123,Waterfowl,humerushumerus
124,Waterfowl,coracoidcoracoid
125,Puma,phalanxproximal phalanx (inferior) 4
126,Human,
127,mammal,unknownfragment
128,White-sided Jackrabbit,mandiblemandible + dentition
129,Hare,mandiblemandible
130,Hare,cranialmaxilla
131,Smokey pocket gopher,mandiblemandible
132,small mammal,Axis
133,Dog,phalanx*medial tarsal phalanx 5
134,Dog,phalanx*proximal tarsal phalanx 3 or 4
135,White-tailed deer,Carpalscaphoid
136,Artiodactyl,ribrib
137,Smokey pocket gopher,
138,mammal,shaftShort or long bone
139,large mammal,Vert ND
140,Human,
141,mammal,unknownfragment
142,medium bird,Tibiatibiotarsus
143,Pigeon,"phalanxPhalanx 1, digit 2 (carpal)"
144,Guajolote,radiusradius
145,bird,metatarsaltarsometatarsus
146,Galliformes,sternumsternum
147,Galliformes,sternumsternum
148,bird,unknownfragment
149,large mammal,shaftShort or long bone
150,White-tailed deer,phalanxproximal phalanx (Right of the two)
151,mammal,unknownfragment
152,Human,
153,large mammal,shaftpossible awl
154,White-tailed deer,Antler
